num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,enumeration_time,typegen_time,solver_time,processing_time,total_time,program_gen_time,result
9,2.8888888,0.09876541,3,2,243,61,4136,762316,770880,66,Sat
6,2.8333333,0.13888888,3,2,243,61,13472,729907,753641,85,Sat
4,2.75,0.1875,3,2,243,61,9749,740674,760615,81,Sat
2,3.0,0.0,3,3,243,61,12422,746423,768825,77,Sat
1,3.0,0.0,3,3,243,61,30972,754252,794924,73,Sat
1,3.0,0.0,3,3,560,323,43348,880729,933530,331,Unsat
2,2.5,0.25,3,2,560,323,31500,783527,819488,333,Unsat
1,3.0,0.0,3,3,560,323,13532,851618,869425,338,Unsat
1,1.0,0.0,1,1,152,40,5590,808600,822987,44,Unsat
1,3.0,0.0,3,3,465,503,25223,856378,891135,520,Unsat
1,2.0,0.0,2,2,465,503,20414,849900,879807,522,Unsat
6,3.0,0.0,3,3,530,1129,8141,879281,897109,1146,Unsat
1,3.0,0.0,3,3,530,1129,5661,748542,758636,1151,Sat
2,3.0,0.0,3,3,530,1129,10772,750956,771796,1140,Sat
4,2.75,0.1875,3,2,530,1129,26598,741317,772517,1138,Sat
1,3.0,0.0,3,3,530,1129,18917,743842,772758,1148,Sat
1,2.0,0.0,2,2,530,1129,9016,762687,781701,1140,Sat
11,2.6363637,0.41322306,3,1,429,83,9935,735531,755469,93,Sat
5,2.8,0.16,3,2,429,83,4999,753229,762563,99,Sat
18,2.6666667,0.22222227,3,2,429,83,3344,727601,735405,97,Sat
3,3.0,0.0,3,3,429,83,11751,777650,799121,133,Sat
9,2.4444444,0.2469136,3,2,429,83,8353,746105,764384,100,Sat
2,2.0,0.0,2,2,429,83,20456,752583,777267,98,Sat
1,3.0,0.0,3,3,429,83,3310,740847,748354,91,Sat
7,2.857143,0.12244899,3,2,648,327,624092,0,639519,343,Unknown
8,2.625,0.234375,3,2,648,327,21291,830069,862744,413,Unsat
1,3.0,0.0,3,3,648,327,7189,757292,772506,378,Sat
1,3.0,0.0,3,3,515,58,3493,852110,859615,61,Unsat
1,2.0,0.0,2,2,515,58,5844,819034,832288,68,Unsat
1,3.0,0.0,3,3,1042,153,12478,890490,907215,180,Unsat
3,2.6666667,0.22222221,3,2,1042,153,10276,790763,810961,249,Unsat
5,3.0,0.0,3,3,308,30,4036,745686,753892,38,Sat
3,2.6666667,0.22222221,3,2,308,30,3398,716748,724377,44,Sat
4,2.75,0.1875,3,2,308,30,6999,708646,725238,46,Sat
1,3.0,0.0,3,3,308,30,3106,714263,721476,43,Sat
2,3.0,0.0,3,3,308,30,3373,737325,744801,38,Sat
1,1.0,0.0,1,1,238,65,16741,721781,742806,68,Sat
4,2.75,0.1875,3,2,238,65,8035,752352,770189,73,Sat
1,3.0,0.0,3,3,238,65,3142,753195,760519,77,Sat
1,2.0,0.0,2,2,238,65,7002,761752,778464,75,Sat
2,2.5,0.25,3,2,771,238,77598,748553,835666,248,Sat
3,3.0,0.0,3,3,771,238,14137,761058,785600,253,Sat
2,2.5,0.25,3,2,771,238,4048,750819,759303,259,Sat
3,2.0,0.6666667,3,1,373,76,5434,846122,855686,82,Unsat
1,2.0,0.0,2,2,373,76,3071,739554,746865,86,Sat
2,2.0,0.0,2,2,177,115,2766,848298,855138,119,Unsat
3,3.0,0.0,3,3,636,247,13360,743400,761332,255,Sat
3,2.6666667,0.22222221,3,2,636,247,9805,732940,753088,265,Sat
1,3.0,0.0,3,3,636,247,9505,743926,758009,260,Sat
3,2.6666667,0.22222221,3,2,636,247,14947,740841,760674,254,Sat
1,3.0,0.0,3,3,636,247,8667,743053,756241,263,Sat
1,1.0,0.0,1,1,423,1089,15763,766247,792537,1101,Sat
1,3.0,0.0,3,3,423,1089,19134,756102,785705,1096,Sat
1,2.0,0.0,2,2,423,1089,8186,749184,762050,1097,Sat
1,2.0,0.0,2,2,423,1089,3353,767487,775405,1095,Sat
1,2.0,0.0,2,2,585,941,30276,853934,894279,954,Unsat
1,3.0,0.0,3,3,585,941,11330,863563,879223,948,Unsat
5,2.8,0.16,3,2,3621,291,632465,0,650801,323,Unknown
2,3.0,0.0,3,3,3621,291,14474,865424,884416,429,Unsat
1,3.0,0.0,3,3,3621,291,11509,836864,862959,357,Unsat
1,2.0,0.0,2,2,351,25,2447,824490,830823,27,Unsat
2,3.0,0.0,3,3,351,25,2621,826329,832848,30,Unsat
1,3.0,0.0,3,3,351,25,2672,821683,828295,34,Unsat
1,2.0,0.0,2,2,134,45,2601,838753,845273,49,Unsat
1,1.0,0.0,1,1,158,83,2673,804739,811405,85,Unsat
1,2.0,0.0,2,2,1083,151,3475,758273,766107,157,Sat
5,2.8,0.16,3,2,1083,151,8710,741057,760135,162,Sat
11,2.909091,0.082644604,3,2,1083,151,4511,754863,764214,176,Sat
1,3.0,0.0,3,3,1083,151,25178,750627,785867,240,Sat
3,2.3333333,0.88888884,3,1,437,118,12884,860861,878149,123,Unsat
1,2.0,0.0,2,2,437,118,3302,751130,759025,132,Sat
3,1.6666666,0.22222221,2,1,160,25,2425,767001,773276,28,Unsat
1,1.0,0.0,1,1,504,1304,10753,745242,766155,1327,Sat
5,2.2,0.16,3,2,504,1304,6167,733843,748328,1311,Sat
1,2.0,0.0,2,2,504,1304,3321,757016,764696,1317,Sat
7,2.857143,0.12244898,3,2,291,58,6591,783086,799014,66,Unsat
6,2.8333333,0.13888888,3,2,291,58,2781,782519,789371,78,Unsat
1,3.0,0.0,3,3,291,58,34738,719896,758851,74,Sat
1,3.0,0.0,3,3,291,58,7940,725959,743343,68,Sat
1,1.0,0.0,1,1,118,29,2665,827237,833858,31,Unsat
2,2.0,0.0,2,2,1578,273,16142,869649,890662,356,Unsat
2,2.0,0.0,2,2,1578,273,16010,812794,837377,466,Unsat
8,2.75,0.1875,3,2,412,67,3108,799439,806737,72,Unsat
8,2.875,0.109375,3,2,412,67,8518,745397,763941,109,Sat
2,3.0,0.0,3,3,412,67,5760,751901,761974,92,Sat
2,3.0,0.0,3,3,412,67,3689,746648,754606,77,Sat
1,2.0,0.0,2,2,257,946,9751,836999,856309,956,Unsat
2,3.0,0.0,3,3,603,271,8639,752746,765839,286,Sat
5,2.6,0.24000001,3,2,603,271,18994,826610,855510,305,Unsat
1,2.0,0.0,2,2,250,139,11077,833704,854274,147,Unsat
1,3.0,0.0,3,3,250,139,16253,861860,887643,158,Unsat
6,3.0,0.0,3,3,313,109,3775,801720,809856,116,Unsat
1,2.0,0.0,2,2,313,109,3246,867664,875179,134,Unsat
1,3.0,0.0,3,3,313,109,36358,756463,797368,122,Sat
1,3.0,0.0,3,3,377,47,6070,710266,724117,57,Sat
5,3.0,0.0,3,3,377,47,505186,0,509328,54,Unknown
13,2.9230769,0.07100592,3,2,377,47,2870,742785,749886,68,Sat
1,2.0,0.0,2,2,377,47,7129,724750,741292,80,Sat
7,3.0,0.0,3,3,377,47,7602,725279,742570,58,Sat
1,3.0,0.0,3,3,377,47,4147,740092,748322,62,Sat
1,3.0,0.0,3,3,377,47,8070,720237,737723,58,Sat
1,1.0,0.0,1,1,185,36,2884,752615,759580,38,Sat
1,2.0,0.0,2,2,185,36,2769,723916,730768,41,Sat
1,1.0,0.0,1,1,180,98,3131,845610,852908,100,Unsat
2,3.0,0.0,3,3,474,202,29680,852835,892273,213,Unsat
2,2.5,0.25,3,2,474,202,5670,779628,789681,218,Unsat
1,1.0,0.0,1,1,165,79,2705,813612,820243,81,Unsat
1,3.0,0.0,3,3,320,84,6101,765826,776252,89,Sat
2,1.5,0.25,2,1,320,84,3228,738202,745773,91,Sat
1,3.0,0.0,3,3,320,84,8406,757800,776024,93,Sat
1,2.0,0.0,2,2,320,84,8925,745621,764435,93,Sat
2,2.5,0.25,3,2,320,84,7175,736993,753981,93,Sat
1,1.0,0.0,1,1,129,165,3076,840883,848078,167,Unsat
5,3.0,0.0,3,3,728,93,15279,875994,895766,100,Unsat
4,2.75,0.1875,3,2,728,93,18114,790452,818643,130,Unsat
1,2.0,0.0,2,2,136,87,2386,825310,831624,90,Unsat
3,2.6666667,0.22222221,3,2,221,22,2394,767391,773711,25,Unsat
1,3.0,0.0,3,3,221,22,2705,823382,829991,29,Unsat
2,2.0,0.0,2,2,235,178,2878,782705,789747,184,Unsat
4,1.75,0.1875,2,1,226,99,5557,799904,809794,103,Unsat
1,1.0,0.0,1,1,131,75,2635,833362,840136,76,Unsat
2,2.5,0.25,3,2,186,21,2401,821151,827475,24,Unsat
2,3.0,0.0,3,3,186,21,2589,837708,844223,28,Unsat
1,2.0,0.0,2,2,192,152,2657,861182,867882,155,Unsat
1,3.0,0.0,3,3,192,152,7344,857959,874645,161,Unsat
1,2.0,0.0,2,2,213,75,5021,744985,754316,77,Sat
1,1.0,0.0,1,1,213,75,6916,757333,772117,83,Sat
2,1.0,0.0,1,1,225,59,3132,831004,838103,61,Unsat
5,2.8,0.16,3,2,375,69,7209,723839,740702,78,Sat
9,2.8888888,0.09876541,3,2,375,69,3664,725333,733285,80,Sat
3,3.0,0.0,3,3,375,69,9023,780217,798909,92,Sat
1,3.0,0.0,3,3,375,69,7772,744130,761444,82,Sat
1,2.0,0.0,2,2,375,69,2918,728078,735079,74,Sat
5,2.8,0.16,3,2,818,480,5491,768072,778438,499,Sat
6,2.6666667,0.22222221,3,2,818,480,505551,0,510250,527,Unknown
1,3.0,0.0,3,3,818,480,7014,766593,778318,527,Sat
1,3.0,0.0,3,3,818,480,46339,735088,791221,510,Sat
1,3.0,0.0,3,3,818,480,31667,750000,792202,503,Sat
3,2.3333333,0.22222221,3,2,314,84,4536,744296,753266,87,Sat
5,2.4,0.24000001,3,2,314,84,8562,735613,754309,99,Sat
1,3.0,0.0,3,3,314,84,3997,733160,741472,98,Sat
1,3.0,0.0,3,3,314,84,623197,0,635210,91,Unknown
1,1.0,0.0,1,1,311,30,2887,719337,728163,31,Sat
3,2.3333333,0.22222221,3,2,311,30,6558,725698,741672,38,Sat
3,2.3333333,0.22222221,3,2,311,30,5167,737137,749839,40,Sat
1,1.0,0.0,1,1,179,137,3877,853393,861436,145,Unsat
2,2.0,1.0,3,1,679,127,5104,737265,746975,137,Sat
3,3.0,0.0,3,3,679,127,3569,749963,758156,151,Sat
7,2.5714285,0.24489796,3,2,679,127,3290,733133,741138,174,Sat
1,2.0,0.0,2,2,196,48,4980,726958,739341,49,Sat
1,1.0,0.0,1,1,196,48,2675,707972,714697,53,Sat
1,2.0,0.0,2,2,196,48,2722,710528,717226,53,Sat
2,1.5,0.25,2,1,254,196,9567,860067,873994,204,Unsat
1,3.0,0.0,3,3,254,196,3460,762672,770852,204,Sat
3,3.0,0.0,3,3,451,89,7706,794163,806081,93,Unsat
1,2.0,0.0,2,2,451,89,5179,832279,841640,101,Unsat
1,2.0,0.0,2,2,613,984,3727,868027,876146,1024,Unsat
1,3.0,0.0,3,3,613,984,8738,862418,879392,1044,Unsat
3,3.0,0.0,3,3,911,524,631401,0,641404,539,Unknown
5,2.8,0.16,3,2,911,524,630725,0,646582,554,Unknown
1,3.0,0.0,3,3,911,524,627917,0,637838,573,Unknown
1,2.0,0.0,2,2,911,524,4500,764439,773641,553,Sat
1,2.0,0.0,2,2,911,524,4471,756808,766148,533,Sat
4,2.5,0.25,3,2,276,26,2753,714118,721043,36,Sat
2,1.5,0.25,2,1,276,26,3195,746332,753701,36,Sat
1,2.0,0.0,2,2,276,26,6340,735658,768837,36,Sat
1,2.0,0.0,2,2,231,510,18622,863510,892284,519,Unsat
2,2.5,0.25,3,2,356,230,3755,862305,870282,241,Unsat
1,2.0,0.0,2,2,356,230,3459,736704,744575,249,Sat
1,2.0,0.0,2,2,356,230,11484,751784,773288,252,Sat
3,2.0,0.6666667,3,1,513,123,4235,866592,875162,131,Unsat
2,2.5,0.25,3,2,513,123,4954,750164,759594,145,Sat
1,1.0,0.0,1,1,178,75,5831,815695,830423,78,Unsat
1,2.0,0.0,2,2,379,294,9371,831791,850379,302,Unsat
1,2.0,0.0,2,2,379,294,3968,845948,853987,305,Unsat
8,2.75,0.1875,3,2,442,132,12619,820695,843273,142,Unsat
2,3.0,0.0,3,3,442,132,621197,0,645147,161,Unknown
3,2.6666667,0.22222221,3,2,332,107,3501,791038,801615,116,Unsat
1,3.0,0.0,3,3,332,107,4170,836488,844834,127,Unsat
1,1.0,0.0,1,1,132,146,3266,815343,822663,149,Unsat
1,3.0,0.0,3,3,226,50,3207,750785,758239,53,Sat
2,2.0,0.0,2,2,226,50,4740,727150,736153,57,Sat
3,2.6666667,0.22222221,3,2,226,50,2908,842972,849914,57,Unsat
1,2.0,0.0,2,2,232,57,3195,807926,815120,60,Unsat
1,3.0,0.0,3,3,232,57,549255,0,559138,67,Unknown
2,2.5,0.25,3,2,440,127,2728,847996,854656,130,Unsat
1,2.0,0.0,2,2,440,127,2871,759641,766679,141,Sat
18,2.9444444,0.052469157,3,2,1408,208,646412,0,666410,226,Unknown
9,3.0,0.0,3,3,1408,208,625410,0,635658,303,Unknown
1,2.0,0.0,2,2,1408,208,504893,0,512700,249,Unknown
3,3.0,0.0,3,3,1408,208,8973,778314,792161,235,Sat
3,2.0,0.0,2,2,380,96,6234,778346,792837,101,Unsat
1,3.0,0.0,3,3,380,96,615471,0,625146,110,Unknown
1,1.0,0.0,1,1,238,44,2591,813116,819592,47,Unsat
4,2.0,0.5,3,1,346,175,4448,785474,794318,180,Unsat
3,2.3333333,0.22222221,3,2,346,175,7443,736755,754140,186,Sat
3,2.6666667,0.22222221,3,2,541,130,31506,745496,787093,137,Sat
3,3.0,0.0,3,3,541,130,9581,723960,743654,152,Sat
4,3.0,0.0,3,3,541,130,10539,728400,747262,144,Sat
1,2.0,0.0,2,2,541,130,3796,797523,805681,149,Sat
