original_total_changes,original_num_types,original_num_params,original_num_generics,original_num_patterns,original_num_nested_patterns,reduced_total_changes,reduced_num_types,reduced_num_params,reduced_num_generics,reduced_num_patterns,reduced_num_nested_patterns,time
15,4,3,6,1,2,15,4,3,6,1,2,0
20,4,6,3,3,7,7,2,1,2,1,2,11
22,3,2,1,6,16,22,3,2,1,6,16,0
10,4,2,0,2,4,6,3,1,0,1,2,12
16,4,4,3,3,5,16,4,4,3,3,5,0
9,2,2,3,1,2,8,2,1,3,1,2,7
15,4,3,5,2,3,9,2,2,3,1,2,24
34,6,11,6,2,11,10,3,1,3,1,3,17
17,5,2,8,1,2,9,2,1,4,1,2,6
27,6,11,6,1,4,10,3,1,3,1,3,14
34,7,12,8,3,7,34,7,12,8,3,7,0
29,7,12,8,1,2,29,7,12,8,1,2,0
37,3,4,4,7,26,10,3,1,4,1,2,14
16,3,4,4,1,5,10,3,1,4,1,2,11
24,5,8,8,1,3,9,2,1,4,1,2,17
18,7,4,5,1,2,12,5,1,4,1,2,10
14,4,5,3,1,2,9,2,2,3,1,2,14
12,3,3,4,1,2,9,2,2,3,1,2,12
14,3,6,0,1,5,6,3,1,0,1,2,13
14,4,3,5,1,2,14,4,3,5,1,2,0
13,4,3,5,1,1,13,4,3,5,1,1,0
14,3,6,0,1,5,8,3,3,0,1,2,13
28,3,6,0,4,19,8,3,3,0,1,2,16
24,7,5,3,5,9,24,7,5,3,5,9,0
13,3,2,6,1,2,12,3,1,6,1,2,7
148,3,4,1,30,140,148,3,4,1,30,140,0
15,5,3,4,1,3,15,5,3,4,1,3,0
21,6,7,5,1,3,12,4,3,3,1,2,17
33,6,7,5,5,15,33,6,7,5,5,15,0
32,8,11,10,1,3,10,3,1,4,1,2,19
14,5,4,1,2,4,14,5,4,1,2,4,0
40,8,11,10,4,11,18,6,2,8,1,2,18
19,6,8,0,2,5,6,3,1,0,1,2,18
17,3,3,6,2,5,17,3,3,6,2,5,0
19,3,6,7,1,3,13,3,2,6,1,2,14
22,5,5,6,2,6,7,2,1,2,1,2,15
23,5,5,6,3,7,9,3,1,3,1,2,19
9,2,3,2,1,2,7,2,1,2,1,2,6
32,3,4,7,7,18,32,3,4,7,7,18,0
39,3,4,7,9,25,39,3,4,7,9,25,0
33,6,7,5,5,15,33,6,7,5,5,15,0
27,8,6,8,4,5,27,8,6,8,4,5,0
19,7,7,2,1,3,10,4,2,2,1,2,11
10,3,4,0,1,3,5,2,1,0,1,2,12
13,3,4,0,2,6,5,2,1,0,1,2,13
15,4,4,5,1,2,9,2,2,3,1,2,17
26,8,6,10,1,2,7,2,1,2,1,2,12
19,6,5,1,4,7,19,6,5,1,4,7,0
14,4,5,0,1,5,5,2,1,0,1,2,15
12,4,5,0,1,3,5,2,1,0,1,2,16
14,4,2,6,1,2,14,4,2,6,1,2,2
6,3,1,0,1,2,5,2,1,0,1,2,9
29,4,7,4,4,14,7,2,1,2,1,2,14
14,6,4,2,1,2,6,3,1,0,1,2,15
26,7,7,9,1,3,26,7,7,9,1,3,0
26,6,8,6,4,6,26,6,8,6,4,6,0
19,4,6,3,3,6,19,4,6,3,3,6,0
27,4,7,0,4,16,7,3,1,0,1,3,19
15,4,6,3,1,2,15,4,6,3,1,2,0
31,7,8,8,4,8,31,7,8,8,4,8,0
24,6,9,3,2,6,7,2,2,1,1,2,34
13,2,3,2,2,6,7,2,1,2,1,2,12
12,4,5,2,1,1,12,4,5,2,1,1,0
14,3,3,4,3,4,14,3,3,4,3,4,0
14,4,5,3,1,2,11,4,2,3,1,2,13
23,4,8,8,1,3,9,2,1,4,1,2,17
34,3,4,2,11,25,34,3,4,2,11,25,0
21,6,8,4,1,3,6,3,1,0,1,2,15
6,2,1,1,1,2,6,2,1,1,1,2,0
5,2,1,1,1,1,5,2,1,1,1,1,0
18,4,8,3,1,3,7,2,1,1,1,3,11
23,7,9,2,1,5,8,3,2,0,1,3,20
20,6,5,1,4,8,20,6,5,1,4,8,0
23,7,9,2,1,5,9,4,2,0,1,3,19
13,2,2,2,2,7,9,2,2,2,1,3,12
35,6,8,1,8,20,35,6,8,1,8,20,0
12,6,0,5,1,1,12,6,0,5,1,1,0
10,3,2,3,1,2,9,3,1,3,1,2,7
11,5,2,2,1,2,5,2,1,0,1,2,12
14,4,7,0,1,3,7,3,2,0,1,2,10
20,5,6,6,1,3,7,2,1,2,1,2,12
29,4,7,0,4,18,9,3,3,0,1,3,19
19,5,3,4,3,7,10,4,1,3,1,2,11
19,5,6,6,1,2,7,2,1,2,1,2,7
14,4,6,2,1,2,10,4,2,2,1,2,22
15,4,5,4,1,2,15,4,5,4,1,2,0
16,4,4,4,2,4,9,2,2,2,1,3,33
21,5,6,8,1,2,16,5,1,8,1,2,13
12,2,3,4,1,3,9,2,1,4,1,2,9
9,4,1,3,1,1,9,4,1,3,1,1,0
12,4,1,3,1,4,12,4,1,3,1,4,0
25,6,4,7,3,8,13,3,2,5,1,3,35
8,3,3,0,1,2,7,3,2,0,1,2,7
8,3,3,0,1,2,7,3,2,0,1,2,7
21,5,6,7,1,3,15,5,1,7,1,2,14
22,5,6,7,1,4,15,5,1,7,1,2,16
9,2,3,2,1,2,8,2,2,2,1,2,11
13,3,4,3,2,3,11,3,2,3,2,3,23
33,7,11,9,2,6,7,2,1,2,1,2,20
29,7,11,9,1,2,7,2,1,2,1,2,17
21,4,8,5,1,4,9,2,1,3,1,3,17
22,4,8,5,1,5,9,2,1,3,1,3,18
19,4,6,6,1,3,10,2,1,4,1,3,14
96,4,6,5,23,81,96,4,6,5,23,81,0
29,6,9,6,1,8,14,5,1,6,1,2,21
13,3,4,3,1,3,10,3,2,3,1,2,10
13,3,4,3,1,3,10,3,2,3,1,2,10
25,8,8,7,1,2,7,2,1,2,1,2,6
12,4,6,0,1,2,6,3,1,0,1,2,12
18,4,6,0,2,8,6,3,1,0,1,2,15
23,5,8,8,1,2,12,3,1,6,1,2,16
52,6,7,1,14,38,52,6,7,1,14,38,0
12,4,4,2,1,2,10,4,2,2,1,2,8
20,5,7,3,2,5,8,4,2,0,1,2,15
12,3,2,4,1,3,9,2,1,3,1,3,11
12,3,2,4,1,3,9,2,1,3,1,3,11
15,6,6,1,1,2,8,3,2,1,1,2,14
26,6,10,7,1,3,11,3,1,4,1,3,12
9,2,3,1,1,3,7,2,2,1,1,2,15
8,2,3,1,1,2,7,2,2,1,1,2,11
14,4,2,4,2,4,9,3,1,3,1,2,8
12,4,2,4,1,2,9,3,1,3,1,2,8
21,6,8,4,2,3,21,6,8,4,2,3,0
12,3,3,3,1,3,7,2,1,2,1,2,11
20,5,5,8,1,2,13,3,2,6,1,2,9
11,3,3,3,1,2,7,2,1,2,1,2,9
20,5,5,8,1,2,13,3,2,6,1,2,9
9,2,2,3,1,2,9,2,2,3,1,2,4
20,8,5,1,4,6,20,8,5,1,4,6,0
11,3,2,3,1,3,7,2,1,2,1,2,9
29,7,10,5,1,7,13,5,1,4,1,3,26
20,4,6,7,1,3,16,4,2,7,1,3,27
30,8,11,9,1,2,30,8,11,9,1,2,0
27,3,6,3,5,15,7,2,1,2,1,2,12
34,8,11,9,2,6,34,8,11,9,2,6,0
5,2,1,1,1,1,5,2,1,1,1,1,0
30,8,11,9,1,2,30,8,11,9,1,2,0
6,2,0,3,1,1,6,2,0,3,1,1,0
18,3,2,6,4,7,18,3,2,6,4,7,0
17,4,6,5,1,2,9,3,1,3,1,2,8
17,4,6,5,1,2,9,3,1,3,1,2,13
37,5,4,9,7,19,37,5,4,9,7,19,0
12,3,6,1,1,2,9,3,3,1,1,2,10
26,6,7,11,1,2,18,5,1,10,1,2,14
17,4,6,5,1,2,9,3,1,3,1,2,8
16,4,3,3,1,6,5,2,1,0,1,2,15
13,2,2,3,3,6,13,2,2,3,3,6,0
27,7,10,0,4,10,6,3,1,0,1,2,20
24,7,10,0,2,7,5,2,1,0,1,2,16
14,5,4,2,1,3,8,4,2,0,1,2,11
13,5,4,2,1,2,8,4,2,0,1,2,11
6,2,1,1,1,2,6,2,1,1,1,2,0
14,4,3,5,2,2,14,4,3,5,2,2,0
47,3,3,6,9,35,47,3,3,6,9,35,0
39,2,3,3,6,31,10,2,2,3,1,3,18
43,3,3,6,10,31,43,3,3,6,10,31,0
18,3,3,6,1,6,18,3,3,6,1,6,0
24,3,3,6,3,12,24,3,3,6,3,12,0
11,3,2,3,1,3,7,2,1,2,1,2,9
10,2,3,0,1,5,5,2,1,0,1,2,11
10,2,3,0,2,5,5,2,1,0,1,2,12
20,6,5,6,1,3,13,4,1,6,1,2,15
20,6,5,6,1,3,14,4,2,6,1,2,15
23,6,5,6,3,6,13,4,1,6,1,2,15
24,6,5,6,2,7,11,4,1,4,1,2,16
10,3,2,3,1,2,9,3,1,3,1,2,7
40,6,10,7,6,17,40,6,10,7,6,17,0
17,4,4,7,1,2,13,3,2,6,1,2,11
12,3,4,3,1,2,7,2,1,2,1,2,8
20,6,4,8,1,2,9,3,1,3,1,2,10
16,7,7,0,1,2,5,2,1,0,1,2,16
27,7,9,8,1,3,27,7,9,8,1,3,0
11,3,3,3,1,2,9,2,2,3,1,2,11
19,6,4,7,1,2,19,6,4,7,1,2,0
12,3,2,2,2,5,7,2,1,2,1,2,9
19,6,4,7,1,2,12,5,1,4,1,2,4
31,7,8,12,3,4,31,7,8,12,3,4,0
21,5,6,1,3,9,21,5,6,1,3,9,0
15,5,6,1,1,3,6,3,1,0,1,2,18
22,5,6,1,4,10,22,5,6,1,4,10,0
13,3,5,3,1,2,9,3,1,3,1,2,10
27,8,6,11,1,2,27,8,6,11,1,2,0
27,8,6,11,1,2,27,8,6,11,1,2,0
14,3,5,3,1,3,10,3,2,3,1,2,10
15,3,5,3,1,4,10,3,2,3,1,2,11
17,3,5,3,2,6,10,3,2,3,1,2,11
10,2,1,5,1,2,10,2,1,5,1,2,0
9,2,1,5,1,1,9,2,1,5,1,1,0
6,2,1,1,1,2,6,2,1,1,1,2,0
33,3,4,4,8,22,33,3,4,4,8,22,0
28,6,9,2,2,11,11,5,2,1,1,3,17
16,4,3,5,1,4,13,4,1,5,1,3,12
22,6,9,2,1,5,11,5,3,1,1,2,13
18,4,4,4,2,6,18,4,4,4,2,6,0
17,4,3,5,1,5,13,4,1,5,1,3,14
14,4,4,4,1,2,14,4,4,4,1,2,0
23,4,4,4,3,11,11,4,2,3,1,2,11
12,3,4,2,1,3,7,2,1,2,1,2,11
36,5,6,9,7,16,36,5,6,9,7,16,0
26,5,6,9,3,6,26,5,6,9,3,6,0
26,4,4,1,4,17,9,4,2,0,1,3,15
12,3,4,1,3,4,12,3,4,1,3,4,0
31,4,9,7,5,11,31,4,9,7,5,11,0
26,6,9,7,1,4,7,2,1,2,1,2,14
36,6,9,7,5,14,11,3,3,3,1,2,21
30,6,9,7,3,8,7,2,1,2,1,2,17
32,7,10,7,4,8,32,7,10,7,4,8,0
10,2,3,1,1,4,10,2,3,1,1,4,0
9,2,3,1,1,3,9,2,3,1,1,3,0
8,2,3,1,1,2,8,2,3,1,1,2,0
17,2,3,1,5,11,17,2,3,1,5,11,0
