num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,enumeration_time,typegen_time,solver_time,processing_time,total_time,program_gen_time,result
1,3.0,0.0,3,3,416,206,3256,122,7729,215,Sat
2,3.0,0.0,3,3,213,34,3452,106,7386,37,Unsat
1,2.0,0.0,2,2,213,34,0,129,670,37,Sat
1,2.0,0.0,2,2,213,34,2875,104,6770,35,Unsat
2,2.0,0.0,2,2,147,35,3297,130,7238,37,Unsat
1,3.0,0.0,3,3,235,41,4643,133,8686,44,Unsat
1,2.0,0.0,2,2,235,41,4215,382,8509,44,Unsat
1,2.0,0.0,2,2,133,21,3260,160,7360,22,Sat
1,2.0,0.0,2,2,133,21,2653,141,6583,23,Unsat
1,3.0,0.0,3,3,133,21,3239,130,7296,23,Sat
1,2.0,0.0,2,2,133,21,3238,115,7250,24,Sat
2,2.0,0.0,2,2,189,36,3200,115,7134,38,Unsat
1,2.0,0.0,2,2,121,92,0,116,665,96,Sat
1,2.0,0.0,2,2,121,92,5093,101,9182,95,Unsat
3,2.6666667,0.88888884,4,2,169,22,3277,188,7301,25,Unsat
2,3.0,1.0,4,2,169,22,3009,131,7096,25,Sat
1,3.0,0.0,3,3,169,22,3004,122,7056,25,Sat
4,2.0,0.0,2,2,221,54,5071,131,9194,57,Unsat
3,3.0,0.0,3,3,221,54,3881,126,8162,57,Sat
1,3.0,0.0,3,3,221,54,3849,39375157,39383127,57,Sat
1,3.0,0.0,3,3,350,89,8846,155,13367,98,Sat
1,3.0,0.0,3,3,350,89,12218,132,16780,95,Sat
1,2.0,0.0,2,2,350,89,6874,139,11087,95,Unsat
1,1.0,0.0,1,1,157,31,2714,151,6704,32,Unsat
6,2.6666667,0.55555564,3,1,338,100,12769,2076459,2093601,105,Unsat
3,2.3333333,0.22222221,3,2,338,100,11331,174,16319,117,Sat
1,3.0,0.0,3,3,338,100,5426,116,9943,104,Sat
5,3.0,0.0,3,3,338,100,21747,160,26453,103,Sat
1,3.0,0.0,3,3,338,100,3355,133,7783,107,Sat
1,3.0,0.0,3,3,338,100,3293,115,7665,102,Sat
8,2.0,0.0,2,2,218,51,2944,119,7029,54,Unsat
1,3.0,0.0,3,3,195,76,10491,158,14474,81,Unsat
4,2.75,0.1875,3,2,195,76,2787,132,6796,80,Unsat
3,3.0,0.0,3,3,195,76,12867,113,16913,81,Unsat
1,1.0,0.0,1,1,218,11,2446,106,6123,12,Unsat
1,1.0,0.0,1,1,112,29,2755,118,6497,30,Unsat
2,1.5,0.25,2,1,186,15,4221,120,8202,17,Sat
4,2.5,0.25,3,2,186,15,2844,97,6821,17,Sat
1,3.0,0.0,3,3,186,15,2870,119,6777,18,Sat
3,2.6666667,0.22222221,3,2,186,15,2879,121,6832,17,Sat
1,4.0,0.0,4,4,193,40,3876,115,7788,44,Unsat
1,4.0,0.0,4,4,193,40,3434,140,7337,44,Unsat
1,2.0,0.0,2,2,193,40,3546,122,7407,44,Unsat
1,3.0,0.0,3,3,193,40,3878,122,7770,43,Unsat
3,2.0,0.6666667,3,1,180,25,2616,120,6463,26,Unsat
1,2.0,0.0,2,2,180,25,2743,122,6624,27,Sat
2,1.5,0.25,2,1,262,130,3172,126,7359,136,Sat
