num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,typegen_time,match_gen_time,processing_time,program_gen_time,total_time,correct
1,1.0,0.0,1,1,75,23,422592,98,422694,false
1,1.0,0.0,1,1,30,15,406710,45,406759,true
8,3.5,0.75,4,2,37,100,384849,137,384991,false
1,1.0,0.0,1,1,22,19,407743,41,407788,true
76,3.9078948,0.18888493,4,1,151,798,1030,949,1983,true
12,3.8333333,0.30555555,4,2,172,286,438189,458,438650,false
1,2.0,0.0,2,2,308,54,425134,362,425502,false
1,1.0,0.0,1,1,45,56,409559,101,409664,false
217,3.9907835,0.018348234,4,2,83,4036,5077,4119,9201,true
1,1.0,0.0,1,1,164,13,421883,177,422064,true
1,1.0,0.0,1,1,298,326,381068,624,381698,false
1,2.0,0.0,2,2,155,40,421214,195,421415,false
6,2.6666667,1.2222222,4,1,70,128,392278,198,392480,false
21,3.7142856,0.29931962,4,2,91,241,490963,332,491298,true
4,2.5,1.25,4,1,60,97,432510,157,432672,true
1,4.0,0.0,4,4,31,75,409805,106,409916,true
4,2.5,1.25,4,1,30,31,424767,61,424832,true
1,1.0,0.0,1,1,421,139,371605,560,372171,false
5,1.8,0.55999994,3,1,79,59,429984,138,430129,true
2,1.5,0.25,2,1,160,135,417538,295,417839,true
1,2.0,0.0,2,2,319,61,428365,380,428751,false
1,4.0,0.0,4,4,1047,770,427062,1817,428887,false
1,4.0,0.0,4,4,84,65,378079,149,378233,false
1,4.0,0.0,4,4,288,282,386229,570,386806,false
1,1.0,0.0,1,1,200,46,406287,246,406539,true
1,1.0,0.0,1,1,108,28,351629,136,351770,false
2,1.0,0.0,1,1,130,115,414058,245,414307,true
1,3.0,0.0,3,3,19,26,407571,45,407621,true
16,3.375,0.484375,4,2,124,483,453466,607,454077,false
1,2.0,0.0,2,2,345,37,423087,382,423474,false
1,2.0,0.0,2,2,355,437,371491,792,372289,false
3,3.0,0.6666667,4,2,22,37,366806,59,366870,false
3,1.3333334,0.22222221,2,1,237,143,423214,380,423601,true
5,2.2,0.96000004,3,1,538,159,436344,697,437047,true
1,1.0,0.0,1,1,199,46,425251,245,425502,false
1,1.0,0.0,1,1,209,31,418637,240,418883,false
1,1.0,0.0,1,1,82,48,413107,130,413243,false
7,2.7142856,1.0612245,4,1,279,593,461683,872,462562,true
1,2.0,0.0,2,2,197,28,427986,225,428215,false
2,1.0,0.0,1,1,37,22,370299,59,370363,false
3,2.0,0.6666667,3,1,31,42,421374,73,421451,true
2,1.5,0.25,2,1,164,103,376362,267,376633,false
2,1.5,0.25,2,1,209,195,425442,404,425850,true
6,3.0,0.6666667,4,2,81,154,403476,235,403715,false
1,2.0,0.0,2,2,75,36,413090,111,413208,false
35,3.2,0.7314288,4,1,76,297,601358,373,601736,true
1,1.0,0.0,1,1,146,51,419001,197,419203,false
1,2.0,0.0,2,2,191,39,432614,230,432850,false
376,3.9973404,0.0026525012,4,3,140,7217,8518,7357,15879,true
1,3.0,0.0,3,3,114,86,383379,200,383582,false
2,1.0,0.0,1,1,1251,863,437214,2114,439334,true
13,3.1538463,0.8994081,4,1,79,188,462817,267,463090,true
1,2.0,0.0,2,2,94,34,418189,128,418321,true
1,2.0,0.0,2,2,20,23,411435,43,411482,false
1,1.0,0.0,1,1,47,51,408896,98,408998,false
6,4.0,0.0,4,4,137,309,389302,446,389753,false
1,2.0,0.0,2,2,65,40,378463,105,378572,false
1,4.0,0.0,4,4,18,27,406825,45,406875,true
1,2.0,0.0,2,2,30,25,409689,55,409751,false
4,2.5,0.25,3,2,218,229,382283,447,382736,false
6,3.6666667,0.55555564,4,2,106,278,419177,384,419567,false
10,4.0,0.0,4,4,41,166,495980,207,496193,true
1,2.0,0.0,2,2,83,118,405737,201,405944,true
1,2.0,0.0,2,2,167,30,419300,197,419500,true
1,2.0,0.0,2,2,49,50,413034,99,413137,false
1,2.0,0.0,2,2,97,64,431713,161,431878,true
1,2.0,0.0,2,2,234,39,427106,273,427383,false
1,4.0,0.0,4,4,30,56,409903,86,409994,true
1,4.0,0.0,4,4,48,85,430906,133,431044,true
1,2.0,0.0,2,2,22,20,359492,42,359539,false
1,2.0,0.0,2,2,1017,139,390282,1156,391444,false
3,3.6666667,0.22222221,4,3,628,1488,451501,2116,453623,true
1,2.0,0.0,2,2,154,56,354580,210,354796,false
2,1.5,0.25,2,1,24,19,427368,43,427415,true
6,4.0,0.0,4,4,81,171,449296,252,449555,true
6,3.0,0.6666667,4,2,245,159,402613,404,403022,false
4,3.0,1.0,4,2,81,45,365425,126,365556,false
1,2.0,0.0,2,2,83,82,427321,165,427490,false
1,2.0,0.0,2,2,392,87,417194,479,417679,false
1,2.0,0.0,2,2,86,33,423834,119,423959,false
3,2.0,0.0,2,2,124,58,425225,182,425410,true
1,2.0,0.0,2,2,139,52,424355,191,424550,false
3,2.6666667,0.22222221,3,2,191,143,430240,334,430579,true
3,2.0,0.6666667,3,1,63,69,419694,132,419830,true
2,1.0,0.0,1,1,76,27,398741,103,398848,true
1,1.0,0.0,1,1,131,52,418451,183,418639,false
1,1.0,0.0,1,1,84,20,412680,104,412789,false
12,3.3333333,0.8888889,4,2,99,168,462636,267,462907,false
12,4.0,0.0,4,4,120,315,448053,435,448493,false
1,4.0,0.0,4,4,96,429,425090,525,425621,true
1,2.0,0.0,2,2,224,133,421258,357,421619,true
1,4.0,0.0,4,4,317,353,428026,670,428701,true
1,2.0,0.0,2,2,65,35,416536,100,416640,true
1,1.0,0.0,1,1,205,120,421441,325,421772,false
1,2.0,0.0,2,2,269,48,434970,317,435291,false
1,2.0,0.0,2,2,171,58,376496,229,376729,false
8,4.0,0.0,4,4,135,699,427706,834,428545,false
1,2.0,0.0,2,2,154,66,426991,220,427216,false
3,1.3333334,0.22222221,2,1,158,197,422627,355,422987,true
14,3.857143,0.12244898,4,3,34,107,386009,141,386154,false
1,2.0,0.0,2,2,39,41,410886,80,410971,false
1,2.0,0.0,2,2,177,24,430049,201,430254,false
1,1.0,0.0,1,1,85,34,415533,119,415656,false
1,4.0,0.0,4,4,219,158,378989,377,379372,false
4,2.5,0.75,3,1,145,497,377023,642,377669,false
4,3.5,0.25,4,3,224,357,439182,581,439769,true
7,3.7142856,0.20408164,4,3,159,157,442694,316,443016,true
1,1.0,0.0,1,1,60,12,411001,72,411078,false
1,4.0,0.0,4,4,348,281,427416,629,428050,true
33,3.878788,0.16712576,4,2,68,521,562726,589,563321,true
1,2.0,0.0,2,2,306,88,418493,394,418893,true
3,2.0,0.6666667,3,1,595,307,420481,902,421389,true
1,2.0,0.0,2,2,158,57,408883,215,409103,false
1,2.0,0.0,2,2,86,36,421254,122,421381,false
1,2.0,0.0,2,2,47,34,376386,81,376471,false
2,3.0,0.0,3,3,401,321,383497,722,384225,false
7,3.4285715,0.53061223,4,2,227,194,455569,421,455995,true
1,4.0,0.0,4,4,27,51,419373,78,419456,true
1,2.0,0.0,2,2,56,32,415569,88,415663,false
12,3.5833333,0.90972215,4,1,76,204,440035,280,440320,false
1,4.0,0.0,4,4,183,56,432074,239,432318,true
1,2.0,0.0,2,2,177,127,375021,304,375329,false
1,2.0,0.0,2,2,121,26,416046,147,416197,false
3,2.0,0.6666667,3,1,111,97,425757,208,425971,true
1,4.0,0.0,4,4,388,966,428538,1354,429896,true
1,4.0,0.0,4,4,64,54,427273,118,427395,true
1,3.0,0.0,3,3,20,29,411550,49,411603,true
2,1.0,0.0,1,1,22,16,406185,38,406227,true
8,3.875,0.109375,4,3,213,462,478108,675,478788,true
1,3.0,0.0,3,3,76,51,414156,127,414288,false
2,4.0,0.0,4,4,272,66,384461,338,384803,false
1,2.0,0.0,2,2,368,82,422545,450,423001,false
1,3.0,0.0,3,3,94,52,420408,146,420560,true
2,2.0,0.0,2,2,482,269,379429,751,380186,false
1,2.0,0.0,2,2,158,53,424493,211,424710,true
2,1.5,0.25,2,1,186,53,374664,239,374909,false
2,1.5,0.25,2,1,162,116,424615,278,424898,true
1,2.0,0.0,2,2,23,22,360501,45,360550,false
6,4.0,0.0,4,4,294,1093,469857,1387,471249,true
20,3.95,0.0475,4,3,206,157,418191,363,418558,false
3,1.6666666,0.22222221,2,1,226,189,428146,415,428566,true
1,2.0,0.0,2,2,386,595,424192,981,425179,true
1,3.0,0.0,3,3,1046,851,399400,1897,401301,false
3,3.0,0.6666667,4,2,641,181,437099,822,437927,true
1,3.0,0.0,3,3,89,62,420334,151,420489,true
1,1.0,0.0,1,1,174,31,415480,205,415689,false
1,3.0,0.0,3,3,52,71,414962,123,415089,true
2,1.5,0.25,2,1,138,152,415192,290,415486,true
1,4.0,0.0,4,4,31,53,417109,84,417198,true
43,3.9534883,0.0443483,4,3,74,1129,691083,1203,692293,true
1,2.0,0.0,2,2,105,66,414236,171,414412,true
1,2.0,0.0,2,2,193,51,445987,244,446235,false
1,4.0,0.0,4,4,42,66,411711,108,411823,true
2,1.5,0.25,2,1,23,24,410756,47,410806,true
1,2.0,0.0,2,2,124,48,418813,172,418990,false
1,1.0,0.0,1,1,163,80,417358,243,417607,true
1,2.0,0.0,2,2,114,80,367780,194,367978,false
2,3.5,0.25,4,3,68,98,375873,166,376045,false
1,2.0,0.0,2,2,828,131,438515,959,439479,false
15,3.9333334,0.06222222,4,3,288,933,505349,1221,506576,true
2,1.5,0.25,2,1,66,38,428303,104,428411,true
