num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,typegen_time,match_gen_time,processing_time,program_gen_time,total_time,correct
495,3.9959595,0.0040240805,4,3,70,8655,10580,8725,19308,true
2,2.5,0.25,3,2,166,356,139,522,665,false
27,3.0370371,0.7764061,4,1,24,56,122,80,204,true
5,2.0,0.8,3,1,263,266,111,529,642,true
1,3.0,0.0,3,3,35,39,79,74,155,true
4,3.5,0.75,4,2,92,97,97,189,288,false
1,3.0,0.0,3,3,28,101,86,129,217,true
1,2.0,0.0,2,2,89,17,86,106,193,false
1,2.0,0.0,2,2,542,91,128,633,762,false
2,1.5,0.25,2,1,53,12,82,65,148,false
1,2.0,0.0,2,2,19,12,133,31,166,false
3,3.0,0.6666667,4,2,41,111,23154718,152,23154872,true
5,3.4,0.64,4,2,281,535,499,816,1322,true
1,2.0,0.0,2,2,149,157,47485285,306,47485595,false
1,1.0,0.0,1,1,88,73,77,161,242,true
1,3.0,0.0,3,3,35,45,74,80,157,false
2,1.5,0.25,2,1,19,15,97,34,133,false
1,2.0,0.0,2,2,118,76,89,194,284,true
14,3.7857144,0.31122452,4,2,30,130,205,160,367,false
1,2.0,0.0,2,2,23,10,296,33,332,false
2,1.5,0.25,2,1,51,33,59,84,144,true
1,1.0,0.0,1,1,5,5,73,10,85,false
1,3.0,0.0,3,3,61,54,107,115,224,true
2,3.0,0.0,3,3,49,49,75,98,174,false
1,1.0,0.0,1,1,42,15,58,57,117,true
2,1.0,0.0,1,1,13,9,111,22,134,false
19,3.8947368,0.1994459,4,2,551,616,281,1167,1449,false
1,3.0,0.0,3,3,281,2717,307,2998,3307,false
1,2.0,0.0,2,2,798,778,315,1576,1894,true
9,3.6666667,0.44444454,4,2,70,139,114,209,326,false
1,2.0,0.0,2,2,12,21,60,33,96,false
1,4.0,0.0,4,4,7,17,83,24,109,true
1,1.0,0.0,1,1,925,32,81,957,1040,false
2,2.0,0.0,2,2,96,77,128,173,303,true
3,3.3333333,0.88888884,4,2,32,35,68,67,137,false
1,3.0,0.0,3,3,67,53,83,120,204,true
1,1.0,0.0,1,1,51,13,98,64,164,true
3,1.6666666,0.22222221,2,1,39,39,75,78,154,true
56,3.732143,0.37468138,4,1,43,407,278,450,729,false
7,2.857143,1.2653062,4,1,171,124,110,295,407,true
1,1.0,0.0,1,1,54,25,86,79,167,false
37,3.945946,0.10518627,4,2,12,266,322,278,602,true
3,3.3333333,0.88888884,4,2,7180,2388,442,9568,10012,true
1,1.0,0.0,1,1,125,83,92,208,302,false
3,4.0,0.0,4,4,239,53,100,292,394,true
7,3.7142856,0.48979583,4,2,57,294,150,351,503,true
1,2.0,0.0,2,2,30,30,81,60,143,false
2,2.0,0.0,2,2,131,44,9932,175,10109,true
1,1.0,0.0,1,1,29,15,119,44,166,false
1,2.0,0.0,2,2,2996,6020,680,9016,9698,false
1,1.0,0.0,1,1,612,47,103,659,764,false
4,3.25,1.6875,4,1,56,174,112,230,344,true
1,1.0,0.0,1,1,110,17,85,127,214,false
3,2.6666667,0.22222221,3,2,38,41,139,79,220,true
1,2.0,0.0,2,2,46,50,86,96,185,true
2,2.0,1.0,3,1,148,55,83,203,287,false
1,1.0,0.0,1,1,32,6,3659129,38,3659169,false
3,4.0,0.0,4,4,96,105,131,201,338,false
2,1.5,0.25,2,1,165,74,160,239,401,true
1,2.0,0.0,2,2,102,41,77,143,222,false
4,3.5,0.75,4,2,57,202,115,259,376,false
